#|V|	Lower	Average	Upper  (Lower/Upper from 99% CI)
1	0.000	0.000	0.000	161
2	0.608	0.683	0.758	111
3	0.998	1.151	1.304	50
4	1.415	1.589	1.762	61
5	1.663	1.823	1.982	50
7	2.282	2.478	2.673	50
8	2.546	2.723	2.900	61
11	3.277	3.477	3.677	50
16	4.388	4.525	4.662	61
17	4.509	4.715	4.920	50
25	5.874	6.087	6.299	50
32	7.096	7.258	7.420	61
38	7.780	7.965	8.151	50
57	10.192	10.410	10.628	50
64	11.104	11.277	11.450	61
86	13.468	13.677	13.887	50
128	17.484	17.654	17.824	61
129	17.519	17.750	17.981	50
194	22.856	23.099	23.342	50
256	27.286	27.513	27.740	61
291	29.756	29.993	30.229	50
437	38.842	39.101	39.359	50
512	43.083	43.290	43.497	61
656	50.575	50.846	51.118	50
985	66.137	66.416	66.695	50
1024	67.931	68.217	68.504	61
1477	86.233	86.546	86.859	50
2048	106.867	107.181	107.495	60
2216	112.521	112.865	113.208	50
3325	147.026	147.345	147.664	50
4096	168.896	169.268	169.641	50
4987	192.192	192.619	193.046	50
7481	251.151	251.547	251.942	50
8192	266.502	267.153	267.805	19
