#|V|	Lower	Average	Upper  (Lower/Upper from 99% CI)
1	0.000	0.000	0.000	150
2	0.236	0.311	0.387	100
3	0.394	0.511	0.628	50
4	0.506	0.606	0.706	50
5	0.610	0.689	0.769	50
7	0.608	0.697	0.785	50
8	0.723	0.784	0.845	50
11	0.791	0.833	0.876	50
16	0.834	0.868	0.902	50
17	0.857	0.891	0.926	50
25	0.889	0.919	0.949	50
32	0.932	0.946	0.961	50
38	0.937	0.954	0.971	50
57	0.953	0.964	0.974	50
64	0.965	0.973	0.982	50
86	0.969	0.976	0.984	50
128	0.979	0.984	0.990	51
129	0.979	0.984	0.990	50
194	0.984	0.988	0.993	50
256	0.989	0.992	0.995	50
291	0.992	0.994	0.996	50
437	0.994	0.995	0.997	50
512	0.995	0.997	0.998	50
656	0.995	0.997	0.998	50
985	0.997	0.998	0.999	50
1024	0.997	0.998	0.999	50
1477	0.998	0.999	0.999	50
2048	0.999	0.999	1.000	22
