#|V|	Lower	Average	Upper  (Lower/Upper from 99% CI)
1	0.000	0.000	0.000	176
2	0.703	0.786	0.869	111
3	1.187	1.327	1.468	50
4	1.718	1.882	2.045	61
5	2.075	2.275	2.475	50
7	2.898	3.087	3.277	50
8	3.296	3.497	3.699	61
11	4.469	4.671	4.872	50
16	5.977	6.196	6.415	61
17	6.134	6.368	6.601	50
25	8.304	8.591	8.879	50
32	9.969	10.211	10.453	61
38	11.318	11.670	12.023	50
57	15.455	15.753	16.051	50
64	16.932	17.194	17.456	61
86	20.956	21.317	21.678	50
128	28.171	28.475	28.778	61
129	28.197	28.499	28.801	50
194	38.131	38.519	38.907	50
256	46.661	46.984	47.306	61
291	51.351	51.751	52.150	50
437	69.188	69.597	70.005	50
512	77.742	78.121	78.501	61
656	93.143	93.629	94.115	50
985	125.688	126.225	126.762	50
1024	129.480	129.989	130.499	61
1477	169.333	169.953	170.572	50
2048	216.193	216.695	217.196	60
2216	228.910	229.464	230.019	50
3325	309.073	309.629	310.186	50
4096	360.988	361.558	362.128	50
4987	417.242	417.899	418.556	50
7481	563.148	563.857	564.566	50
8192	601.858	603.238	604.619	18
